rgn_id,habitat,year,km2
1804,rocky_reef,2012,749.249
1805,rocky_reef,2012,749.249
1811,rocky_reef,2012,749.249
1812,rocky_reef,2012,749.249
1813,rocky_reef,2012,749.249
1815,rocky_reef,2012,749.249
1816,rocky_reef,2012,749.249
1818,rocky_reef,2012,749.249
1820,rocky_reef,2012,749.249
1822,rocky_reef,2012,749.249
1824,rocky_reef,2012,749.249
1827,rocky_reef,2012,749.249
1828,rocky_reef,2012,749.249
1832,rocky_reef,2012,749.249
1833,rocky_reef,2012,749.249
1834,rocky_reef,2012,749.249
1835,rocky_reef,2012,749.249
1836,rocky_reef,2012,749.249
1837,rocky_reef,2012,749.249
1838,rocky_reef,2012,749.249
1840,rocky_reef,2012,749.249
1841,rocky_reef,2012,749.249
1845,rocky_reef,2012,749.249
1848,rocky_reef,2012,749.249
1849,rocky_reef,2012,749.249
1850,rocky_reef,2012,749.249
1851,rocky_reef,2012,749.249
1852,rocky_reef,2012,749.249
1853,rocky_reef,2012,749.249
1854,rocky_reef,2012,749.249
1856,rocky_reef,2012,749.249
1857,rocky_reef,2012,749.249
1859,rocky_reef,2012,749.249
1860,rocky_reef,2012,749.249
1865,rocky_reef,2012,749.249
1866,rocky_reef,2012,749.249
1867,rocky_reef,2012,749.249
1868,rocky_reef,2012,749.249
1870,rocky_reef,2012,749.249
1871,rocky_reef,2012,749.249
1874,rocky_reef,2012,749.249
1902,rocky_reef,2012,749.249
1903,rocky_reef,2012,749.249
1911,rocky_reef,2012,749.249
1913,rocky_reef,2012,749.249
1917,rocky_reef,2012,749.249
1919,rocky_reef,2012,749.249
1920,rocky_reef,2012,749.249
1923,rocky_reef,2012,749.249
1924,rocky_reef,2012,749.249
1925,rocky_reef,2012,749.249
1926,rocky_reef,2012,749.249
1927,rocky_reef,2012,749.249
1928,rocky_reef,2012,749.249
1929,rocky_reef,2012,749.249
1931,rocky_reef,2012,749.249
1933,rocky_reef,2012,749.249
1936,rocky_reef,2012,749.249
1938,rocky_reef,2012,749.249
1939,rocky_reef,2012,749.249
1940,rocky_reef,2012,749.249
1941,rocky_reef,2012,749.249
1942,rocky_reef,2012,749.249
1943,rocky_reef,2012,749.249
2002,rocky_reef,2012,749.249
2003,rocky_reef,2012,749.249
2004,rocky_reef,2012,749.249
2012,rocky_reef,2012,749.249
2014,rocky_reef,2012,749.249
2015,rocky_reef,2012,749.249
2017,rocky_reef,2012,749.249
2018,rocky_reef,2012,749.249
2019,rocky_reef,2012,749.249
2020,rocky_reef,2012,749.249
2022,rocky_reef,2012,749.249
2023,rocky_reef,2012,749.249
2024,rocky_reef,2012,749.249
2025,rocky_reef,2012,749.249
2027,rocky_reef,2012,749.249
2028,rocky_reef,2012,749.249
2030,rocky_reef,2012,749.249
