rgn_id,year,habitat,trend
1804,2011,soft_bottom,-0.0103
1804,2012,soft_bottom,-0.0177
1804,2013,soft_bottom,-0.0135
1804,2014,soft_bottom,-0.0016
1804,2015,soft_bottom,-0.0053
1805,2011,soft_bottom,-0.0103
1805,2012,soft_bottom,-0.0177
1805,2013,soft_bottom,-0.0135
1805,2014,soft_bottom,-0.0016
1805,2015,soft_bottom,-0.0053
1811,2011,soft_bottom,-0.0103
1811,2012,soft_bottom,-0.0177
1811,2013,soft_bottom,-0.0135
1811,2014,soft_bottom,-0.0016
1811,2015,soft_bottom,-0.0053
1812,2011,soft_bottom,-0.0103
1812,2012,soft_bottom,-0.0177
1812,2013,soft_bottom,-0.0135
1812,2014,soft_bottom,-0.0016
1812,2015,soft_bottom,-0.0053
1813,2011,soft_bottom,-0.0103
1813,2012,soft_bottom,-0.0177
1813,2013,soft_bottom,-0.0135
1813,2014,soft_bottom,-0.0016
1813,2015,soft_bottom,-0.0053
1815,2011,soft_bottom,-0.0103
1815,2012,soft_bottom,-0.0177
1815,2013,soft_bottom,-0.0135
1815,2014,soft_bottom,-0.0016
1815,2015,soft_bottom,-0.0053
1816,2011,soft_bottom,-0.0103
1816,2012,soft_bottom,-0.0177
1816,2013,soft_bottom,-0.0135
1816,2014,soft_bottom,-0.0016
1816,2015,soft_bottom,-0.0053
1818,2011,soft_bottom,-0.0103
1818,2012,soft_bottom,-0.0177
1818,2013,soft_bottom,-0.0135
1818,2014,soft_bottom,-0.0016
1818,2015,soft_bottom,-0.0053
1820,2011,soft_bottom,-0.0103
1820,2012,soft_bottom,-0.0177
1820,2013,soft_bottom,-0.0135
1820,2014,soft_bottom,-0.0016
1820,2015,soft_bottom,-0.0053
1822,2011,soft_bottom,-0.0103
1822,2012,soft_bottom,-0.0177
1822,2013,soft_bottom,-0.0135
1822,2014,soft_bottom,-0.0016
1822,2015,soft_bottom,-0.0053
1824,2011,soft_bottom,-0.0103
1824,2012,soft_bottom,-0.0177
1824,2013,soft_bottom,-0.0135
1824,2014,soft_bottom,-0.0016
1824,2015,soft_bottom,-0.0053
1827,2011,soft_bottom,-0.0103
1827,2012,soft_bottom,-0.0177
1827,2013,soft_bottom,-0.0135
1827,2014,soft_bottom,-0.0016
1827,2015,soft_bottom,-0.0053
1828,2011,soft_bottom,-0.0103
1828,2012,soft_bottom,-0.0177
1828,2013,soft_bottom,-0.0135
1828,2014,soft_bottom,-0.0016
1828,2015,soft_bottom,-0.0053
1832,2011,soft_bottom,-0.0103
1832,2012,soft_bottom,-0.0177
1832,2013,soft_bottom,-0.0135
1832,2014,soft_bottom,-0.0016
1832,2015,soft_bottom,-0.0053
1833,2011,soft_bottom,-0.0103
1833,2012,soft_bottom,-0.0177
1833,2013,soft_bottom,-0.0135
1833,2014,soft_bottom,-0.0016
1833,2015,soft_bottom,-0.0053
1834,2011,soft_bottom,-0.0103
1834,2012,soft_bottom,-0.0177
1834,2013,soft_bottom,-0.0135
1834,2014,soft_bottom,-0.0016
1834,2015,soft_bottom,-0.0053
1835,2011,soft_bottom,-0.0103
1835,2012,soft_bottom,-0.0177
1835,2013,soft_bottom,-0.0135
1835,2014,soft_bottom,-0.0016
1835,2015,soft_bottom,-0.0053
1836,2011,soft_bottom,-0.0103
1836,2012,soft_bottom,-0.0177
1836,2013,soft_bottom,-0.0135
1836,2014,soft_bottom,-0.0016
1836,2015,soft_bottom,-0.0053
1837,2011,soft_bottom,-0.0103
1837,2012,soft_bottom,-0.0177
1837,2013,soft_bottom,-0.0135
1837,2014,soft_bottom,-0.0016
1837,2015,soft_bottom,-0.0053
1838,2011,soft_bottom,-0.0103
1838,2012,soft_bottom,-0.0177
1838,2013,soft_bottom,-0.0135
1838,2014,soft_bottom,-0.0016
1838,2015,soft_bottom,-0.0053
1840,2011,soft_bottom,-0.0103
1840,2012,soft_bottom,-0.0177
1840,2013,soft_bottom,-0.0135
1840,2014,soft_bottom,-0.0016
1840,2015,soft_bottom,-0.0053
1841,2011,soft_bottom,-0.0103
1841,2012,soft_bottom,-0.0177
1841,2013,soft_bottom,-0.0135
1841,2014,soft_bottom,-0.0016
