rgn_id,year,score
1804,2012,0.771072955873925
1804,2013,0.768306269453492
1804,2014,0.76553958303306
1804,2015,0.762772896612627
1804,2016,0.760006210192194
1804,2017,0.757239523771761
1804,2018,0.754472837351328
1805,2012,0.771072955873925
1805,2013,0.768306269453492
1805,2014,0.76553958303306
1805,2015,0.762772896612627
1805,2016,0.760006210192194
1805,2017,0.757239523771761
1805,2018,0.754472837351328
1811,2012,0.771072955873925
1811,2013,0.768306269453492
1811,2014,0.76553958303306
1811,2015,0.762772896612627
1811,2016,0.760006210192194
1811,2017,0.757239523771761
1811,2018,0.754472837351328
1812,2012,0.771072955873925
1812,2013,0.768306269453492
1812,2014,0.76553958303306
1812,2015,0.762772896612627
1812,2016,0.760006210192194
1812,2017,0.757239523771761
1812,2018,0.754472837351328
1813,2012,0.771072955873925
1813,2013,0.768306269453492
1813,2014,0.76553958303306
1813,2015,0.762772896612627
1813,2016,0.760006210192194
1813,2017,0.757239523771761
1813,2018,0.754472837351328
1815,2012,0.771072955873925
1815,2013,0.768306269453492
1815,2014,0.76553958303306
1815,2015,0.762772896612627
1815,2016,0.760006210192194
1815,2017,0.757239523771761
1815,2018,0.754472837351328
1816,2012,0.771072955873925
1816,2013,0.768306269453492
1816,2014,0.76553958303306
1816,2015,0.762772896612627
1816,2016,0.760006210192194
1816,2017,0.757239523771761
1816,2018,0.754472837351328
1818,2012,0.771072955873925
1818,2013,0.768306269453492
1818,2014,0.76553958303306
1818,2015,0.762772896612627
1818,2016,0.760006210192194
1818,2017,0.757239523771761
1818,2018,0.754472837351328
1820,2012,0.771072955873925
1820,2013,0.768306269453492
1820,2014,0.76553958303306
1820,2015,0.762772896612627
1820,2016,0.760006210192194
1820,2017,0.757239523771761
1820,2018,0.754472837351328
1822,2012,0.771072955873925
1822,2013,0.768306269453492
1822,2014,0.76553958303306
1822,2015,0.762772896612627
1822,2016,0.760006210192194
1822,2017,0.757239523771761
1822,2018,0.754472837351328
1824,2012,0.771072955873925
1824,2013,0.768306269453492
1824,2014,0.76553958303306
1824,2015,0.762772896612627
1824,2016,0.760006210192194
1824,2017,0.757239523771761
1824,2018,0.754472837351328
1827,2012,0.771072955873925
1827,2013,0.768306269453492
1827,2014,0.76553958303306
1827,2015,0.762772896612627
1827,2016,0.760006210192194
1827,2017,0.757239523771761
1827,2018,0.754472837351328
1828,2012,0.771072955873925
1828,2013,0.768306269453492
1828,2014,0.76553958303306
1828,2015,0.762772896612627
1828,2016,0.760006210192194
1828,2017,0.757239523771761
1828,2018,0.754472837351328
1832,2012,0.771072955873925
1832,2013,0.768306269453492
1832,2014,0.76553958303306
1832,2015,0.762772896612627
1832,2016,0.760006210192194
1832,2017,0.757239523771761
1832,2018,0.754472837351328
1833,2012,0.771072955873925
1833,2013,0.768306269453492
1833,2014,0.76553958303306
1833,2015,0.762772896612627
1833,2016,0.760006210192194
1833,2017,0.757239523771761
1833,2018,0.754472837351328
1834,2012,0.771072955873925
1834,2013,0.768306269453492
1834,2014,0.76553958303306
1834,2015,0.762772896612627
1834,2016,0.760006210192194
1834,2017,0.757239523771761
1834,2018,0.754472837351328
1835,2012,0.771072955873925
1835,2013,0.768306269453492
1835,2014,0.76553958303306
1835,2015,0.762772896612627
1835,2016,0.760006210192194
1835,2017,0.757239523771761
1835,2018,0.754472837351328
1836,2012,0.771072955873925
1836,2013,0.768306269453492
1836,2014,0.76553958303306
1836,2015,0.762772896612627
